Open,High,Low,Close,Volume
2492.575,2584.452,2481.974,2583.522,83856090
2596.318,2680.493,2596.318,2673.423,112497272
2654.359,2659.74,2609.086,2622.63,93269050
2620.853,2644.941,2610.51,2625.793,68710464
2615.105,2662.081,2583.548,2655.918,87883569
2680.403,2686.542,2641.405,2655.767,86947998
2647.868,2665.39,2591.535,2592.147,78743882
2577.763,2598.897,2534.267,2568.283,74666113
2548.542,2572.343,2521.057,2571.423,64866634
2575.77,2596.137,2551.529,2552.656,69502328
2536.231,2556.969,2527.873,2553.593,56518495
2508.329,2527.104,2491.661,2511.729,65697988
2510.084,2531.882,2491.647,2513.947,63032468
2523.879,2589.473,2501.118,2583.87,96030984
2561.549,2581.047,2554.787,2562.58,74583964
2574.899,2590.979,2566.616,2569.942,66519280
2588.965,2595.509,2559.723,2560.245,54957039
2556.602,2568.861,2505.327,2513.222,67218453
2517.292,2587.34,2504.315,2586.21,78554425
2579.631,2598.353,2572.962,2588.698,63681459
2576.343,2593.673,2546.52,2569.872,58776822
2563.639,2586.898,2554.342,2566.745,48856571
2556.54,2572.832,2534.269,2552.817,50078852
2550.649,2561.485,2528.385,2535.278,43203938
2534.496,2541.142,2425.927,2427.053,73744904
2409.542,2411.441,2382.358,2398.37,55210569
2393.947,2410.769,2371.778,2373.792,49967686
2371.323,2386.4,2319.739,2382.901,68329570
2358.757,2378.088,2335.571,2363.947,47996452
2358.284,2409.783,2356.553,2409.424,61364295
2407.665,2421.679,2392.567,2421.117,56110700
2429.676,2436.283,2402.002,2415.15,54485954
2416.58,2485.6,2398.676,2470.923,85890148
2468.541,2501.024,2455.814,2490.718,82922349
2468.69,2468.69,2439.243,2450.286,66327019
2456.103,2494.589,2456.103,2470.44,72946145
2465.989,2487.237,2423.649,2424.304,105539239
2414.681,2428.464,2389.071,2424.271,70793303
2399.58,2484.194,2392.273,2475.421,88838962
2477.753,2530.331,2477.46,2528.73,118598374
2529.619,2553.452,2520.149,2535.394,114247832
2525.976,2563.239,2522.201,2562.406,105934217
2566.851,2579.523,2549.237,2572.028,114373149
2576.372,2589.484,2556.466,2588.683,93326486
2581.59,2587.997,2565.636,2575.368,86605236
2574.322,2636.002,2564.156,2633.663,128979538
2635.048,2656.408,2623.944,2648.116,139123605
2642.852,2643.035,2614.732,2637.503,94773788
2635.807,2675.762,2633.647,2672.516,112944633
2678.791,2681.786,2626.722,2627.002,127971094
2620.499,2638.898,2589.988,2638.522,112123737
2636.243,2640.589,2606.622,2620.757,113514382
